iter	Logloss
0	0.6713455653
1	0.6543082262
2	0.6365796121
3	0.6209382518
4	0.607516013
5	0.5952099044
6	0.5847515178
7	0.5753728269
8	0.567384941
9	0.559263118
10	0.5532216604
11	0.5466392299
12	0.5400073484
13	0.5361812169
14	0.5314925357
15	0.5284375943
16	0.5231841653
17	0.5208376432
18	0.5173998712
19	0.5136382093
20	0.5104734102
21	0.5072566179
22	0.5050570163
23	0.5019951646
24	0.499334976
25	0.495861626
26	0.4933345502
27	0.4912432231
28	0.4902734509
29	0.488836587
30	0.4867261331
31	0.4854019683
32	0.4837822315
33	0.4824280646
34	0.4811307232
35	0.4794283477
36	0.4775749445
37	0.4759509752
38	0.4738829229
39	0.4720902588
40	0.4698521544
41	0.4687505873
42	0.4682617244
43	0.4669863562
44	0.4657011485
45	0.4622292659
46	0.4613147477
47	0.4596521993
48	0.4586386231
49	0.4576047418
50	0.4567308055
51	0.4561667857
52	0.4552658322
53	0.4539864736
54	0.4523872953
55	0.4513505907
56	0.4504784264
57	0.4490918324
58	0.4480604028
59	0.4467223167
60	0.4458641434
61	0.4450100858
62	0.4441605259
63	0.4434165846
64	0.442717379
65	0.4425315524
66	0.4415797478
67	0.4411441636
68	0.4405400336
69	0.4397020098
70	0.439186645
71	0.4384748526
72	0.4374422634
73	0.4368150885
74	0.4357289211
75	0.4351963692
76	0.4342301162
77	0.4337936632
78	0.4331684657
79	0.432489131
80	0.4311855352
81	0.4308663975
82	0.4303612719
83	0.4296852367
84	0.4291336506
85	0.4281279796
86	0.4275350841
87	0.4266459145
88	0.4261501885
89	0.4243474082
90	0.4236867339
91	0.4233089168
92	0.4229755485
93	0.422004603
94	0.4211038325
95	0.420619127
96	0.4201263358
97	0.4195342865
98	0.419091132
99	0.418398512
100	0.4178513711
101	0.4176209534
102	0.417311772
103	0.4158776878
104	0.4152649276
105	0.4148668365
106	0.4139576525
107	0.4136598477
108	0.4134966179
109	0.412800219
110	0.4126381236
111	0.412084736
112	0.4118072091
113	0.4112863828
114	0.4086084084
115	0.4080012341
116	0.4073245745
117	0.4063464145
118	0.4060994985
119	0.4059036739
120	0.4055538845
121	0.4054592128
122	0.4050866547
123	0.4046769623
124	0.403967566
125	0.4035579921
126	0.4032176692
127	0.4027284648
128	0.4022236356
129	0.4018289785
130	0.4012743961
131	0.4009981479
132	0.4001682085
133	0.3995926005
134	0.3989446167
135	0.398639001
136	0.398203477
137	0.397970276
138	0.3973755961
139	0.3970254624
140	0.396271566
141	0.3960465126
142	0.3956645808
143	0.3951069429
144	0.3936185397
145	0.392849941
146	0.3919397036
147	0.3915280939
148	0.3908052961
149	0.3905487567
150	0.3899464141
151	0.3891281349
152	0.3887849209
153	0.3870486272
154	0.3863713612
155	0.3845995541
156	0.3839423145
157	0.3820065891
158	0.3814203724
159	0.3809661225
160	0.3794717927
161	0.378712325
162	0.3781129651
163	0.3775743273
164	0.3764813999
165	0.3747442519
166	0.3733745887
167	0.3728515421
168	0.3719651888
169	0.3708230318
170	0.3697568898
171	0.3679818526
172	0.3669881926
173	0.3656928573
174	0.3642323575
175	0.3635398086
176	0.3628262456
177	0.3618343976
178	0.3599543408
179	0.3563994476
180	0.3549182815
181	0.3538705532
182	0.3517503788
183	0.3492816654
184	0.3478158326
185	0.3450501518
186	0.3443878284
187	0.3433762842
188	0.3426165816
189	0.3418587209
190	0.3392779937
191	0.3374976839
192	0.3340767667
193	0.3327991588
194	0.3295703967
195	0.3283605362
196	0.3252496257
197	0.3242090455
198	0.3234155291
199	0.3203114481
200	0.318507204
201	0.3171551535
202	0.3161221016
203	0.3144691767
204	0.3131803221
205	0.3121390606
206	0.3109750281
207	0.3100125928
208	0.3094289832
209	0.3083154868
210	0.3073813373
211	0.306814399
212	0.3059521453
213	0.3046183017
214	0.303696892
215	0.3031557983
216	0.3027201329
217	0.3022370582
218	0.3017693796
219	0.3008970708
220	0.3001810955
221	0.2996613239
222	0.2990140059
223	0.296445316
224	0.295472763
225	0.2949349932
226	0.2929944397
227	0.2922645817
228	0.2914869988
229	0.2889788686
230	0.2880812204
231	0.2865655122
232	0.2857765646
233	0.2840283192
234	0.2832902446
235	0.282633625
236	0.2817376053
237	0.2807649421
238	0.2801922642
239	0.2796074816
240	0.2789393395
241	0.2783064429
242	0.2774743705
243	0.2767374396
244	0.276075062
245	0.2754540321
246	0.2746508533
247	0.2735014366
248	0.2728777446
249	0.2721582956
250	0.2717132035
251	0.2712686425
252	0.2708530519
253	0.2704113783
254	0.2699469019
255	0.2694242923
256	0.2688352061
257	0.2683809275
258	0.2677908045
259	0.2671207998
260	0.2665977574
261	0.2661802724
262	0.2654978213
263	0.2647432239
264	0.2642377287
265	0.2636668761
266	0.2631888663
267	0.2627541854
268	0.2622182188
269	0.2615653773
270	0.2609120699
271	0.2605606183
272	0.2602698648
273	0.2598723811
274	0.259502546
275	0.2590902545
276	0.2583363662
277	0.2579365907
278	0.2573161589
279	0.2568271826
280	0.2564632807
281	0.2561888608
282	0.2557608335
283	0.2552545696
284	0.254893685
285	0.2543683634
286	0.253926486
287	0.2536334286
288	0.2532382048
289	0.2528468272
290	0.2519835678
291	0.251561094
292	0.2511399366
293	0.2506159747
294	0.250012241
295	0.2496070992
296	0.2491175278
297	0.2485704508
298	0.2480445933
299	0.2476145372
300	0.2471553111
301	0.2465771103
302	0.2463293668
303	0.2457670171
304	0.2451816638
305	0.2448548819
306	0.2443696409
307	0.2437983351
308	0.2433246295
309	0.2429205182
310	0.2426647334
311	0.242245931
312	0.2418430007
313	0.241151887
314	0.2407328954
315	0.2402049294
316	0.2399621841
317	0.2396315814
318	0.2392756052
319	0.2389041886
320	0.2386485282
321	0.2381977669
322	0.2379290862
323	0.2373459848
324	0.2370258037
325	0.2366565227
326	0.2359099276
327	0.2355586365
328	0.2351989163
329	0.2348066492
330	0.234535042
331	0.2341449103
332	0.2338472847
333	0.2335492371
334	0.2330015241
335	0.2326343184
336	0.2324557924
337	0.2320331913
338	0.2315639006
339	0.2310952621
340	0.2307127105
341	0.2299564416
342	0.229578618
343	0.2291453651
344	0.2287263229
345	0.2283980014
346	0.2279143803
347	0.2275808687
348	0.2270874405
349	0.2266519109
350	0.2262424735
351	0.2258347723
352	0.2254889414
353	0.22521847
354	0.2248957685
355	0.2245198178
356	0.2241738909
357	0.2238426343
358	0.2235465494
359	0.2233138865
360	0.223012585
361	0.2227272579
362	0.222286094
363	0.2220418271
364	0.2218002966
365	0.22154118
366	0.2211215168
367	0.2208199814
368	0.2205211657
369	0.2201941662
370	0.2198973389
371	0.2195072652
372	0.2190807981
373	0.2188425284
374	0.2183685163
375	0.2179755365
376	0.2173718964
377	0.2170562505
378	0.2167537395
379	0.2163775568
380	0.2161507737
381	0.2158454531
382	0.2155730534
383	0.2152337373
384	0.2148972056
385	0.2144709784
386	0.2142156807
387	0.2139055954
388	0.2135089699
389	0.2131874108
390	0.2128171605
391	0.2126050666
392	0.2124171405
393	0.2121766122
394	0.2118429546
395	0.2115687616
396	0.2112218006
397	0.2109012891
398	0.2107014289
399	0.2103772358
400	0.2101456018
401	0.2097394441
402	0.2092032184
403	0.2089446693
404	0.2085553366
405	0.2082442935
406	0.2077957819
407	0.2074786959
408	0.2070990025
409	0.2066263716
410	0.2063229552
411	0.2059690011
412	0.2057125325
413	0.2054222926
414	0.2050741537
415	0.2047008429
416	0.2045029593
417	0.2042270215
418	0.2039147496
419	0.2035961553
420	0.2033715043
421	0.2030476488
422	0.2028527903
423	0.2025226833
424	0.2022311389
425	0.2018424681
426	0.2015262266
427	0.2013111716
428	0.2012192462
429	0.2006354312
430	0.200227816
431	0.1997128882
432	0.1993381772
433	0.1989373436
434	0.1986612548
435	0.1983730589
436	0.1980418406
437	0.1976974342
438	0.1975217493
439	0.1970588622
440	0.1967131407
441	0.1963229611
442	0.1960407763
443	0.1957883014
444	0.1955501141
445	0.1953125309
446	0.1949054443
447	0.1946721382
448	0.1943170332
449	0.1940460832
450	0.1937581506
451	0.1935105994
452	0.1932190117
453	0.1929797205
454	0.1926909967
455	0.1924097967
456	0.1921313789
457	0.1918621995
458	0.1915122228
459	0.1911629567
460	0.1909332384
461	0.1905639105
462	0.1902774532
463	0.1899842245
464	0.1898158866
465	0.189718454
466	0.1893648595
467	0.1892050725
468	0.1890519811
469	0.1888218877
470	0.1885757589
471	0.1883610997
472	0.1881283178
473	0.1877614463
474	0.1874109005
475	0.187179542
476	0.1869290216
477	0.1866251125
478	0.1863073558
479	0.1859374848
480	0.1856530047
481	0.1854264239
482	0.1852094216
483	0.1848493238
484	0.1845960698
485	0.1842569488
486	0.1840247563
487	0.1837580779
488	0.1834724158
489	0.1833124147
490	0.1830848838
491	0.1827845524
492	0.1824210834
493	0.1821044429
494	0.1818673226
495	0.1815184452
496	0.1813236365
497	0.1810358894
498	0.1808167227
499	0.1807162817
500	0.1804663317
501	0.1802086936
502	0.1799825512
503	0.1798379151
504	0.1796349789
505	0.1794490701
506	0.1792459522
507	0.1788865147
508	0.1787469987
509	0.1784813001
510	0.1782508131
511	0.1780758355
512	0.1779067404
513	0.177637102
514	0.1774662262
515	0.1772230307
516	0.1768796641
517	0.1765788548
518	0.1763013495
519	0.1760664937
520	0.1757130705
521	0.1754850044
522	0.1751857704
523	0.1749483011
524	0.1747894116
525	0.1745100023
526	0.1742394301
527	0.1741303011
528	0.1739181221
529	0.1736959765
530	0.1734617498
