iter	Passed	Remaining
399	39684	39684
400	39793	39595
401	39898	39501
402	39997	39402
403	40104	39310
404	40212	39219
405	40328	39136
406	40463	39071
407	40611	39018
408	40743	38950
409	40864	38871
410	41026	38830
411	41190	38791
412	41303	38703
413	41403	38603
414	41503	38503
415	41603	38402
416	41705	38305
417	41817	38216
418	41950	38146
419	42077	38070
420	42221	38009
421	42332	37918
422	42474	37855
423	42600	37777
424	42721	37695
425	42847	37616
426	43027	37585
427	43170	37521
428	43333	37474
429	43460	37396
430	43585	37315
431	43716	37240
432	43845	37162
433	43973	37083
434	44095	36999
435	44213	36912
436	44329	36823
437	44438	36727
438	44542	36628
439	44644	36527
440	44742	36423
441	44849	36326
442	44951	36225
443	45047	36119
444	45145	36015
445	45242	35910
446	45342	35807
447	45437	35700
448	45539	35599
449	45636	35495
450	45737	35393
451	45846	35297
452	46007	35242
453	46140	35164
454	46266	35080
455	46400	35003
456	46502	34902
457	46628	34818
458	46750	34732
459	46870	34643
460	46991	34555
461	47121	34474
462	47285	34417
463	47401	34325
464	47541	34250
465	47652	34154
466	47773	34065
467	47894	33976
468	48033	33899
469	48178	33827
470	48306	33742
471	48434	33657
472	48564	33574
473	48698	33493
474	48820	33403
475	48953	33321
476	49082	33236
477	49194	33139
478	49307	33043
479	49452	32968
480	49550	32861
481	49642	32751
482	49738	32644
483	49841	32541
484	49934	32431
485	50028	32323
486	50142	32226
487	50278	32145
488	50390	32047
489	50512	31956
490	50653	31877
491	50791	31796
492	50924	31711
493	51043	31617
494	51161	31523
495	51284	31432
496	51393	31332
497	51503	31233
498	51648	31154
499	51766	31060
500	51898	30973
501	52024	30883
502	52173	30806
503	52308	30720
504	52429	30626
505	52557	30537
506	52699	30455
507	52855	30381
508	52971	30284
509	53102	30195
510	53217	30097
511	53316	29990
512	53428	29891
513	53547	29795
514	53665	29698
515	53809	29615
516	53962	29538
517	54082	29442
518	54215	29353
519	54334	29256
520	54465	29166
521	54617	29087
522	54738	28991
523	54896	28914
524	55034	28827
525	55149	28728
526	55291	28642
527	55410	28544
528	55533	28449
529	55642	28346
530	55760	28247
531	55887	28153
532	56001	28053
533	56109	27949
534	56224	27849
535	56347	27753
536	56454	27649
537	56556	27542
538	56652	27432
539	56760	27329
540	56869	27225
541	56987	27127
542	57089	27020
543	57188	26912
544	57284	26802
545	57386	26696
546	57485	26588
547	57591	26483
548	57689	26375
549	57789	26267
550	57888	26160
551	57982	26050
552	58082	25942
553	58220	25852
554	58316	25743
555	58411	25634
556	58509	25525
557	58606	25417
558	58701	25307
559	58797	25198
560	58894	25090
561	58988	24980
562	59093	24875
563	59191	24767
564	59291	24661
565	59388	24553
566	59490	24446
567	59585	24337
568	59680	24228
569	59776	24120
570	59869	24010
571	59967	23903
572	60070	23797
573	60176	23693
574	60280	23588
575	60376	23479
576	60497	23381
577	60595	23273
578	60711	23173
579	60838	23076
580	60941	22971
581	61038	22863
582	61142	22757
583	61247	22653
584	61346	22546
585	61442	22438
586	61541	22330
587	61685	22240
588	61806	22141
589	61941	22046
590	62044	21941
591	62140	21833
592	62239	21726
593	62354	21624
594	62461	21520
595	62584	21421
596	62715	21325
597	62830	21223
598	62949	21123
599	63059	21019
600	63181	20920
601	63302	20820
602	63401	20713
603	63505	20607
604	63601	20499
605	63704	20393
606	63807	20288
607	63907	20181
608	64004	20073
609	64096	19964
610	64194	19857
611	64292	19749
612	64392	19643
613	64531	19548
614	64682	19457
615	64824	19363
616	64945	19262
617	65057	19159
618	65180	19059
619	65302	18958
620	65418	18856
621	65528	18752
622	65637	18648
623	65745	18543
624	65847	18437
625	65952	18331
626	66055	18225
627	66160	18120
628	66286	18020
629	66402	17918
630	66509	17813
631	66622	17709
632	66729	17604
633	66826	17497
634	66932	17391
635	67046	17288
636	67146	17182
637	67255	17077
638	67366	16973
639	67477	16869
640	67586	16764
641	67682	16656
642	67782	16550
643	67922	16453
644	68025	16347
645	68131	16241
646	68227	16134
647	68333	16028
648	68433	15922
649	68531	15814
650	68648	15712
651	68747	15605
652	68847	15498
653	68956	15393
654	69055	15287
655	69152	15179
656	69261	15075
657	69361	14968
658	69472	14864
659	69585	14760
660	69686	14654
661	69779	14546
662	69907	14445
663	70027	14342
664	70138	14238
665	70244	14133
666	70341	14026
667	70439	13919
668	70539	13812
669	70639	13706
670	70740	13599
671	70836	13492
672	70934	13385
673	71040	13280
674	71153	13176
675	71249	13069
676	71346	12962
677	71448	12856
678	71550	12750
679	71659	12645
680	71811	12548
681	71917	12443
682	72030	12339
683	72132	12232
684	72231	12126
685	72331	12020
686	72442	11915
687	72547	11810
688	72658	11705
689	72763	11599
690	72872	11495
691	72981	11390
692	73081	11283
693	73189	11178
694	73289	11072
695	73387	10966
696	73490	10860
697	73592	10754
698	73697	10648
699	73798	10542
700	73892	10435
701	73995	10329
702	74098	10224
703	74200	10118
704	74298	10011
705	74395	9905
706	74496	9799
707	74597	9693
708	74697	9587
709	74802	9481
710	74907	9376
711	75008	9270
712	75104	9164
713	75207	9058
714	75309	8952
715	75430	8849
716	75529	8743
717	75630	8637
718	75750	8533
719	75851	8427
720	75950	8321
721	76049	8215
722	76148	8109
723	76248	8003
724	76369	7900
725	76479	7795
726	76580	7689
727	76695	7585
728	76793	7479
729	76898	7373
730	77016	7269
731	77119	7164
732	77220	7058
733	77323	6952
734	77428	6847
735	77531	6741
