iter	Accuracy	Logloss
221	0.7899669791	0.454198812
222	0.7901337514	0.4539637732
223	0.7909676128	0.4535291165
224	0.7908675494	0.4532655942
225	0.7908675494	0.4530628215
226	0.7913345119	0.4527309011
227	0.7915679931	0.4524527087
228	0.7919348921	0.4519840169
229	0.7923351456	0.4515312028
230	0.792802108	0.4510893091
231	0.7930022347	0.4507532207
232	0.7931022981	0.4505685976
233	0.7933024249	0.4502831278
234	0.7936359694	0.449893322
235	0.7939028051	0.4495703351
236	0.7941696408	0.4492646552
237	0.7942029952	0.4488548919
238	0.7943030586	0.4485883505
239	0.7943697675	0.4483675788
240	0.7944364764	0.448171365
241	0.7946032487	0.4479284031
242	0.7949701478	0.4475357755
243	0.795203629	0.4472913263
244	0.7955038191	0.4470269986
245	0.7956038825	0.4467657254
246	0.7958040092	0.4464951519
247	0.7958707181	0.446106397
248	0.7963376805	0.4457700842
249	0.7962709716	0.4455057402
