기준_년분기_코드,자치구_코드,자치구_코드_명,월_평균_소득_금액,소득_구간_코드,지출_총_금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,교육_지출_총금액,유흥_지출_총금액,여가_문화_지출_총금액,기타_지출_총금액,음식_지출_총금액
20242,11260,중랑구,2598785.0,06,69386912000.0,20448332000.0,1469181000.0,1188714000.0,11571983000.0,4953305000.0,2507087000.0,2847471000.0,3890194000.0,2687014000.0,17823631000.0
20242,11470,양천구,3796034.0,08,109856039000.0,27000349000.0,1645174000.0,1151161000.0,21961261000.0,5861411000.0,13966699000.0,2070427000.0,11024895000.0,3784860000.0,21389802000.0
20242,11320,도봉구,2785111.0,06,52531543000.0,15820270000.0,1049162000.0,969611000.0,7223414000.0,4838645000.0,2527353000.0,1445936000.0,3111638000.0,1924579000.0,13620935000.0
20242,11380,은평구,2912739.0,06,92705118000.0,23222798000.0,4530132000.0,1650060000.0,19875679000.0,4528024000.0,5260194000.0,2914969000.0,4804434000.0,3693901000.0,22224927000.0
20242,11530,구로구,2994059.0,07,1614231673000.0,25791602000.0,1836446000.0,2096310000.0,23115656000.0,4420522000.0,3847559000.0,3028235000.0,1523729762000.0,3779414000.0,22586167000.0
20242,11680,강남구,4943841.0,09,2702405974000.0,43256745000.0,32591449000.0,6586995000.0,131468635000.0,28136322000.0,36557454000.0,10037077000.0,1386452708000.0,944077351000.0,83241238000.0
20242,11200,성동구,3734499.0,07,94895025000.0,21362454000.0,4490238000.0,1259258000.0,13788783000.0,6307435000.0,3065191000.0,2642940000.0,6565153000.0,7920333000.0,27493240000.0
20242,11230,동대문구,3030256.0,07,93548964000.0,26546047000.0,3017121000.0,1617823000.0,21298528000.0,5354893000.0,3231565000.0,2179963000.0,4973868000.0,2284796000.0,23044360000.0
20242,11410,서대문구,3417706.0,07,117485628000.0,18028116000.0,1438586000.0,764641000.0,59138407000.0,3487244000.0,4035585000.0,1836999000.0,4451243000.0,3193474000.0,21111333000.0
20242,11440,마포구,3832436.0,08,1214360961000.0,33036770000.0,7987924000.0,2930999000.0,20376075000.0,4233535000.0,9334988000.0,7908183000.0,1064503684000.0,8816265000.0,55232538000.0
20242,11560,영등포구,3604887.0,07,263727148000.0,27713523000.0,4246037000.0,2909528000.0,24856058000.0,75368918000.0,4097049000.0,4421307000.0,47080588000.0,24806630000.0,48227510000.0
20242,11620,관악구,2771927.0,06,121049434000.0,29978597000.0,3027037000.0,1528411000.0,18331935000.0,2956441000.0,14655744000.0,5137957000.0,9549715000.0,4608357000.0,31275240000.0
20242,11710,송파구,3995905.0,08,377714993000.0,39991266000.0,7862394000.0,3777834000.0,41102065000.0,9279118000.0,10887384000.0,5057002000.0,200960475000.0,8386208000.0,50411247000.0
20242,11110,종로구,3725859.0,07,218159962000.0,16766608000.0,5509644000.0,1337319000.0,23238204000.0,5722615000.0,4185653000.0,4873789000.0,16481947000.0,91928179000.0,48116004000.0
20242,11290,성북구,3281773.0,07,87219766000.0,23869876000.0,1950228000.0,1127130000.0,12188833000.0,5704066000.0,4368361000.0,2574687000.0,7372858000.0,3466065000.0,24597662000.0
20242,11305,강북구,2547460.0,06,62313292000.0,15230398000.0,1903948000.0,1170753000.0,11549614000.0,3446738000.0,1615357000.0,2747174000.0,3891378000.0,3077577000.0,17680355000.0
20242,11350,노원구,3195375.0,07,127519468000.0,39770070000.0,1835046000.0,1322462000.0,20141840000.0,4482120000.0,8814196000.0,3272287000.0,13468885000.0,5298046000.0,29114516000.0
