기준_년분기_코드,자치구_코드_명,전체임대료
2019년 3분기,강동구,85734
2020년 3분기,서울시 전체,124241
2020년 3분기,종로구,171678
2020년 3분기,중구,247416
2020년 3분기,용산구,116640
2020년 3분기,성동구,103605
2020년 3분기,광진구,95941
2020년 3분기,동대문구,87744
2020년 3분기,중랑구,77344
2020년 3분기,성북구,87723
2020년 3분기,강북구,82248
2020년 3분기,도봉구,75101
2020년 3분기,노원구,102102
2020년 3분기,은평구,90796
2020년 3분기,서대문구,102289
2020년 3분기,마포구,126919
2020년 3분기,양천구,95701
2020년 3분기,강서구,101813
2020년 3분기,구로구,108939
2020년 3분기,금천구,105373
2020년 3분기,영등포구,106843
2020년 3분기,동작구,109948
2020년 3분기,관악구,100471
2020년 3분기,서초구,123223
2020년 3분기,강남구,144346
2020년 3분기,송파구,126628
2020년 3분기,강동구,102762
2021년 3분기,서울시 전체,124374
2021년 3분기,종로구,171612
2021년 3분기,중구,223773
2021년 3분기,용산구,122682
2021년 3분기,성동구,122059
2021년 3분기,광진구,101067
2021년 3분기,동대문구,93444
2021년 3분기,중랑구,90648
2021년 3분기,성북구,94592
2021년 3분기,강북구,84915
2021년 3분기,도봉구,80695
2021년 3분기,노원구,98390
2021년 3분기,은평구,91664
2021년 3분기,서대문구,109684
2021년 3분기,마포구,135933
2021년 3분기,양천구,101719
2021년 3분기,강서구,113396
2021년 3분기,구로구,101003
2021년 3분기,금천구,106915
2021년 3분기,영등포구,106931
2021년 3분기,동작구,113114
2021년 3분기,관악구,106099
2021년 3분기,서초구,128173
2021년 3분기,강남구,148812
2021년 3분기,송파구,153066
2021년 3분기,강동구,101279
2019년 4분기,서울시 전체,119401
2019년 4분기,종로구,188430
2019년 4분기,중구,228567
2019년 4분기,용산구,110863
2019년 4분기,성동구,102582
2019년 4분기,광진구,97741
2019년 4분기,동대문구,81959
2019년 4분기,중랑구,72084
2019년 4분기,성북구,85384
2019년 4분기,강북구,85163
2019년 4분기,도봉구,77091
2019년 4분기,노원구,102403
2019년 4분기,은평구,88177
2019년 4분기,서대문구,99017
2019년 4분기,마포구,123115
2019년 4분기,양천구,94762
2019년 4분기,강서구,102332
2019년 4분기,구로구,105182
2019년 4분기,금천구,100755
2019년 4분기,영등포구,96464
2019년 4분기,동작구,104771
2019년 4분기,관악구,98626
2019년 4분기,서초구,118110
2019년 4분기,강남구,141815
2019년 4분기,송파구,115451
2019년 4분기,강동구,86943
2020년 4분기,서울시 전체,122315
2020년 4분기,종로구,167010
2020년 4분기,중구,240380
2020년 4분기,용산구,118621
2020년 4분기,성동구,105462
2020년 4분기,광진구,94783
2020년 4분기,동대문구,88218
2020년 4분기,중랑구,84466
2020년 4분기,성북구,88230
2020년 4분기,강북구,80015
2020년 4분기,도봉구,76544
2020년 4분기,노원구,100010
2020년 4분기,은평구,90367
2020년 4분기,서대문구,101811
2020년 4분기,마포구,128470
2020년 4분기,양천구,96121
2020년 4분기,강서구,101248
2020년 4분기,구로구,107811
2020년 4분기,금천구,103833
2020년 4분기,영등포구,106710
2020년 4분기,동작구,109551
2020년 4분기,관악구,102648
2020년 4분기,서초구,125049
2020년 4분기,강남구,144513
2020년 4분기,송파구,129797
2020년 4분기,강동구,102027
2021년 4분기,서울시 전체,128950
2021년 4분기,종로구,177511
2021년 4분기,중구,229682
2021년 4분기,용산구,125736
2021년 4분기,성동구,128099
2021년 4분기,광진구,107323
2021년 4분기,동대문구,95064
2021년 4분기,중랑구,84927
2021년 4분기,성북구,99058
2021년 4분기,강북구,89810
2021년 4분기,도봉구,84510
2021년 4분기,노원구,102629
2021년 4분기,은평구,96815
2021년 4분기,서대문구,114173
2021년 4분기,마포구,139995
2021년 4분기,양천구,103309
2021년 4분기,강서구,118852
2021년 4분기,구로구,101315
2021년 4분기,금천구,108056
2021년 4분기,영등포구,110217
2021년 4분기,동작구,130118
2021년 4분기,관악구,107310
2021년 4분기,서초구,128544
2021년 4분기,강남구,150923
2021년 4분기,송파구,153891
2021년 4분기,강동구,106353
2022년 1분기,서울시 전체,130651
2022년 1분기,종로구,183433
2022년 1분기,중구,231615
2022년 1분기,용산구,130021
2022년 1분기,성동구,127864
2022년 1분기,광진구,110132
2022년 1분기,동대문구,95402
2022년 1분기,중랑구,86675
2022년 1분기,성북구,104496
2022년 1분기,강북구,91034
2022년 1분기,도봉구,86900
2022년 1분기,노원구,106014
2022년 1분기,은평구,100940
2022년 1분기,서대문구,115323
2022년 1분기,마포구,142020
2022년 1분기,양천구,105938
2022년 1분기,강서구,118576
2022년 1분기,구로구,106097
2022년 1분기,금천구,102408
2022년 1분기,영등포구,111445
2022년 1분기,동작구,131808
2022년 1분기,관악구,110547
2022년 1분기,서초구,128332
2022년 1분기,강남구,151537
2022년 1분기,송파구,151705
2022년 1분기,강동구,107021
2023년 1분기,서울시 전체,143793
2023년 1분기,종로구,194714
2023년 1분기,중구,291943
2023년 1분기,용산구,144120
2023년 1분기,성동구,205485
2023년 1분기,광진구,111289
2023년 1분기,동대문구,96876
2023년 1분기,중랑구,83917
2023년 1분기,성북구,101887
2023년 1분기,강북구,83872
2023년 1분기,도봉구,102594
2023년 1분기,노원구,123834
2023년 1분기,은평구,99050
2023년 1분기,서대문구,125736
2023년 1분기,마포구,167493
2023년 1분기,양천구,109483
2023년 1분기,강서구,130369
2023년 1분기,구로구,135428
2023년 1분기,금천구,99390
2023년 1분기,영등포구,117567
2023년 1분기,동작구,132719
2023년 1분기,관악구,112783
2023년 1분기,서초구,142051
2023년 1분기,강남구,174024
2023년 1분기,송파구,170118
2023년 1분기,강동구,116737
2024년 1분기,서울시 전체,136609
2024년 1분기,종로구,202740
2024년 1분기,중구,271713
2024년 1분기,용산구,129649
2024년 1분기,성동구,166215
2024년 1분기,광진구,106228
2024년 1분기,동대문구,91071
2024년 1분기,중랑구,89420
2024년 1분기,성북구,111551
2024년 1분기,강북구,88285
2024년 1분기,도봉구,122372
2024년 1분기,노원구,110900
2024년 1분기,은평구,100502
2024년 1분기,서대문구,144423
2024년 1분기,마포구,140886
2024년 1분기,양천구,112408
2024년 1분기,강서구,127024
2024년 1분기,구로구,135123
2024년 1분기,금천구,110668
2024년 1분기,영등포구,118742
2024년 1분기,동작구,141069
2024년 1분기,관악구,116083
2024년 1분기,서초구,136637
2024년 1분기,강남구,175465
2024년 1분기,송파구,127058
2024년 1분기,강동구,122369
2022년 2분기,서울시 전체,132473
2022년 2분기,종로구,198534
2022년 2분기,중구,240311
2022년 2분기,용산구,137701
2022년 2분기,성동구,134990
2022년 2분기,광진구,112800
2022년 2분기,동대문구,92915
2022년 2분기,중랑구,87580
2022년 2분기,성북구,106288
2022년 2분기,강북구,93343
