기준_년분기_코드,자치구_코드,자치구_코드_명,총_직장인구_수,남성_직장인구_수,여성_직장인구_수,연령대_10_직장인구_수,연령대_20_직장인구_수,연령대_30_직장인구_수,연령대_40_직장인구_수,연령대_50_직장인구_수,연령대_60_이상_직장인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
20193,11200,성동구,60249.0,37462.0,22787.0,181.0,9907.0,14536.0,14471.0,12933.0,8221.0,105.0,4839.0,9098.0,9364.0,8226.0,5830.0,76.0,5068.0,5438.0,5107.0,4707.0,2391.0
20192,11200,성동구,60249.0,37462.0,22787.0,181.0,9907.0,14536.0,14471.0,12933.0,8221.0,105.0,4839.0,9098.0,9364.0,8226.0,5830.0,76.0,5068.0,5438.0,5107.0,4707.0,2391.0
20252,11590,동작구,45111.0,27110.0,18001.0,12.0,7059.0,11338.0,10748.0,9848.0,6106.0,6.0,3878.0,6998.0,6470.0,5859.0,3899.0,6.0,3181.0,4340.0,4278.0,3989.0,2207.0
20252,11620,관악구,41999.0,24067.0,17932.0,0.0,5925.0,10647.0,10425.0,9419.0,5583.0,0.0,2537.0,6024.0,6136.0,5384.0,3986.0,0.0,3388.0,4623.0,4289.0,4035.0,1597.0
20251,11620,관악구,41999.0,24067.0,17932.0,0.0,5925.0,10647.0,10425.0,9419.0,5583.0,0.0,2537.0,6024.0,6136.0,5384.0,3986.0,0.0,3388.0,4623.0,4289.0,4035.0,1597.0
20251,11650,서초구,434315.0,280685.0,153630.0,579.0,77630.0,122260.0,110191.0,90726.0,32929.0,260.0,36370.0,76769.0,75466.0,67808.0,24012.0,319.0,41260.0,45491.0,34725.0,22918.0,8917.0
20252,11650,서초구,434315.0,280685.0,153630.0,579.0,77630.0,122260.0,110191.0,90726.0,32929.0,260.0,36370.0,76769.0,75466.0,67808.0,24012.0,319.0,41260.0,45491.0,34725.0,22918.0,8917.0
20234,11200,성동구,77165.0,47902.0,29263.0,80.0,13004.0,19185.0,18758.0,16144.0,9994.0,58.0,6394.0,12045.0,12187.0,10100.0,7118.0,22.0,6610.0,7140.0,6571.0,6044.0,2876.0
20233,11200,성동구,60887.0,38008.0,22879.0,81.0,10087.0,14909.0,14744.0,13031.0,8035.0,46.0,4904.0,9326.0,9561.0,8345.0,5826.0,35.0,5183.0,5583.0,5183.0,4686.0,2209.0
20232,11200,성동구,60887.0,38008.0,22879.0,81.0,10087.0,14909.0,14744.0,13031.0,8035.0,46.0,4904.0,9326.0,9561.0,8345.0,5826.0,35.0,5183.0,5583.0,5183.0,4686.0,2209.0
20231,11200,성동구,60887.0,38008.0,22879.0,81.0,10087.0,14909.0,14744.0,13031.0,8035.0,46.0,4904.0,9326.0,9561.0,8345.0,5826.0,35.0,5183.0,5583.0,5183.0,4686.0,2209.0
20224,11200,성동구,60887.0,38008.0,22879.0,81.0,10087.0,14909.0,14744.0,13031.0,8035.0,46.0,4904.0,9326.0,9561.0,8345.0,5826.0,35.0,5183.0,5583.0,5183.0,4686.0,2209.0
20221,11200,성동구,62764.0,38754.0,24010.0,101.0,10481.0,15418.0,15192.0,13324.0,8248.0,62.0,5013.0,9511.0,9769.0,8475.0,5924.0,39.0,5468.0,5907.0,5423.0,4849.0,2324.0
20223,11215,광진구,51212.0,32456.0,18756.0,84.0,7820.0,10683.0,12669.0,13542.0,6414.0,19.0,3796.0,6641.0,8334.0,8971.0,4695.0,65.0,4024.0,4042.0,4335.0,4571.0,1719.0
20222,11215,광진구,51212.0,32456.0,18756.0,84.0,7820.0,10683.0,12669.0,13542.0,6414.0,19.0,3796.0,6641.0,8334.0,8971.0,4695.0,65.0,4024.0,4042.0,4335.0,4571.0,1719.0
20221,11215,광진구,51212.0,32456.0,18756.0,84.0,7820.0,10683.0,12669.0,13542.0,6414.0,19.0,3796.0,6641.0,8334.0,8971.0,4695.0,65.0,4024.0,4042.0,4335.0,4571.0,1719.0
20214,11215,광진구,51212.0,32456.0,18756.0,84.0,7820.0,10683.0,12669.0,13542.0,6414.0,19.0,3796.0,6641.0,8334.0,8971.0,4695.0,65.0,4024.0,4042.0,4335.0,4571.0,1719.0
20213,11215,광진구,51301.0,32479.0,18822.0,115.0,7832.0,10602.0,12629.0,13620.0,6503.0,30.0,3811.0,6569.0,8285.0,9060.0,4724.0,85.0,4021.0,4033.0,4344.0,4560.0,1779.0
20212,11215,광진구,51301.0,32479.0,18822.0,115.0,7832.0,10602.0,12629.0,13620.0,6503.0,30.0,3811.0,6569.0,8285.0,9060.0,4724.0,85.0,4021.0,4033.0,4344.0,4560.0,1779.0
20211,11215,광진구,51301.0,32479.0,18822.0,115.0,7832.0,10602.0,12629.0,13620.0,6503.0,30.0,3811.0,6569.0,8285.0,9060.0,4724.0,85.0,4021.0,4033.0,4344.0,4560.0,1779.0
20204,11215,광진구,51301.0,32479.0,18822.0,115.0,7832.0,10602.0,12629.0,13620.0,6503.0,30.0,3811.0,6569.0,8285.0,9060.0,4724.0,85.0,4021.0,4033.0,4344.0,4560.0,1779.0
20203,11215,광진구,48020.0,30131.0,17889.0,136.0,7183.0,9884.0,11825.0,12715.0,6277.0,43.0,3499.0,6089.0,7690.0,8335.0,4475.0,93.0,3684.0,3795.0,4135.0,4380.0,1802.0
20202,11215,광진구,48020.0,30131.0,17889.0,136.0,7183.0,9884.0,11825.0,12715.0,6277.0,43.0,3499.0,6089.0,7690.0,8335.0,4475.0,93.0,3684.0,3795.0,4135.0,4380.0,1802.0
20201,11215,광진구,48020.0,30131.0,17889.0,136.0,7183.0,9884.0,11825.0,12715.0,6277.0,43.0,3499.0,6089.0,7690.0,8335.0,4475.0,93.0,3684.0,3795.0,4135.0,4380.0,1802.0
20194,11215,광진구,48020.0,30131.0,17889.0,136.0,7183.0,9884.0,11825.0,12715.0,6277.0,43.0,3499.0,6089.0,7690.0,8335.0,4475.0,93.0,3684.0,3795.0,4135.0,4380.0,1802.0
20242,11200,성동구,77165.0,47902.0,29263.0,80.0,13004.0,19185.0,18758.0,16144.0,9994.0,58.0,6394.0,12045.0,12187.0,10100.0,7118.0,22.0,6610.0,7140.0,6571.0,6044.0,2876.0
20252,11680,강남구,1079924.0,662335.0,417589.0,2069.0,214872.0,329426.0,275198.0,180204.0,78155.0,877.0,100201.0,204697.0,188865.0,116356.0,51339.0,1192.0,114671.0,124729.0,86333.0,63848.0,26816.0
20191,11215,광진구,48020.0,30131.0,17889.0,136.0,7183.0,9884.0,11825.0,12715.0,6277.0,43.0,3499.0,6089.0,7690.0,8335.0,4475.0,93.0,3684.0,3795.0,4135.0,4380.0,1802.0
20193,11215,광진구,48020.0,30131.0,17889.0,136.0,7183.0,9884.0,11825.0,12715.0,6277.0,43.0,3499.0,6089.0,7690.0,8335.0,4475.0,93.0,3684.0,3795.0,4135.0,4380.0,1802.0
20192,11215,광진구,48020.0,30131.0,17889.0,136.0,7183.0,9884.0,11825.0,12715.0,6277.0,43.0,3499.0,6089.0,7690.0,8335.0,4475.0,93.0,3684.0,3795.0,4135.0,4380.0,1802.0
20234,11215,광진구,40300.0,25573.0,14727.0,43.0,6124.0,8411.0,10016.0,10727.0,4979.0,5.0,2986.0,5242.0,6552.0,7080.0,3708.0,38.0,3138.0,3169.0,3464.0,3647.0,1271.0
20233,11215,광진구,51522.0,32772.0,18750.0,70.0,7833.0,10737.0,12772.0,13655.0,6455.0,12.0,3835.0,6703.0,8418.0,9036.0,4768.0,58.0,3998.0,4034.0,4354.0,4619.0,1687.0
20232,11215,광진구,51522.0,32772.0,18750.0,70.0,7833.0,10737.0,12772.0,13655.0,6455.0,12.0,3835.0,6703.0,8418.0,9036.0,4768.0,58.0,3998.0,4034.0,4354.0,4619.0,1687.0
20231,11215,광진구,51522.0,32772.0,18750.0,70.0,7833.0,10737.0,12772.0,13655.0,6455.0,12.0,3835.0,6703.0,8418.0,9036.0,4768.0,58.0,3998.0,4034.0,4354.0,4619.0,1687.0
20224,11215,광진구,51522.0,32772.0,18750.0,70.0,7833.0,10737.0,12772.0,13655.0,6455.0,12.0,3835.0,6703.0,8418.0,9036.0,4768.0,58.0,3998.0,4034.0,4354.0,4619.0,1687.0
20222,11230,동대문구,52406.0,29559.0,22847.0,0.0,7777.0,11566.0,12461.0,12001.0,8601.0,0.0,3910.0,6904.0,6993.0,6247.0,5505.0,0.0,3867.0,4662.0,5468.0,5754.0,3096.0
20223,11230,동대문구,52406.0,29559.0,22847.0,0.0,7777.0,11566.0,12461.0,12001.0,8601.0,0.0,3910.0,6904.0,6993.0,6247.0,5505.0,0.0,3867.0,4662.0,5468.0,5754.0,3096.0
