기준_년분기_코드,자치구_코드,자치구_코드_명,총_직장인구_수,남성_직장인구_수,여성_직장인구_수,연령대_10_직장인구_수,연령대_20_직장인구_수,연령대_30_직장인구_수,연령대_40_직장인구_수,연령대_50_직장인구_수,연령대_60_이상_직장인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
20243,11230,동대문구,53565.0,30754.0,22811.0,0.0,7786.0,11861.0,12741.0,12140.0,9037.0,0.0,3898.0,7117.0,7330.0,6502.0,5907.0,0.0,3888.0,4744.0,5411.0,5638.0,3130.0
20194,11260,중랑구,22087.0,13418.0,8669.0,8.0,2574.0,4620.0,5747.0,5801.0,3337.0,6.0,1137.0,2596.0,3276.0,3707.0,2696.0,2.0,1437.0,2024.0,2471.0,2094.0,641.0
20252,11740,강동구,51554.0,30293.0,21261.0,0.0,6394.0,11106.0,12040.0,12175.0,9839.0,0.0,2934.0,6461.0,7132.0,7094.0,6672.0,0.0,3460.0,4645.0,4908.0,5081.0,3167.0
20191,11260,중랑구,22087.0,13418.0,8669.0,8.0,2574.0,4620.0,5747.0,5801.0,3337.0,6.0,1137.0,2596.0,3276.0,3707.0,2696.0,2.0,1437.0,2024.0,2471.0,2094.0,641.0
20193,11260,중랑구,22087.0,13418.0,8669.0,8.0,2574.0,4620.0,5747.0,5801.0,3337.0,6.0,1137.0,2596.0,3276.0,3707.0,2696.0,2.0,1437.0,2024.0,2471.0,2094.0,641.0
20192,11260,중랑구,22087.0,13418.0,8669.0,8.0,2574.0,4620.0,5747.0,5801.0,3337.0,6.0,1137.0,2596.0,3276.0,3707.0,2696.0,2.0,1437.0,2024.0,2471.0,2094.0,641.0
20234,11260,중랑구,18587.0,11583.0,7004.0,0.0,1700.0,3766.0,4972.0,5245.0,2904.0,0.0,670.0,2109.0,2814.0,3400.0,2590.0,0.0,1030.0,1657.0,2158.0,1845.0,314.0
20233,11260,중랑구,20847.0,13076.0,7771.0,0.0,2114.0,4360.0,5600.0,5698.0,3075.0,0.0,889.0,2480.0,3225.0,3766.0,2716.0,0.0,1225.0,1880.0,2375.0,1932.0,359.0
20232,11260,중랑구,20847.0,13076.0,7771.0,0.0,2114.0,4360.0,5600.0,5698.0,3075.0,0.0,889.0,2480.0,3225.0,3766.0,2716.0,0.0,1225.0,1880.0,2375.0,1932.0,359.0
20231,11260,중랑구,20847.0,13076.0,7771.0,0.0,2114.0,4360.0,5600.0,5698.0,3075.0,0.0,889.0,2480.0,3225.0,3766.0,2716.0,0.0,1225.0,1880.0,2375.0,1932.0,359.0
20224,11260,중랑구,20847.0,13076.0,7771.0,0.0,2114.0,4360.0,5600.0,5698.0,3075.0,0.0,889.0,2480.0,3225.0,3766.0,2716.0,0.0,1225.0,1880.0,2375.0,1932.0,359.0
20221,11260,중랑구,21341.0,13331.0,8010.0,1.0,2225.0,4430.0,5681.0,5772.0,3232.0,1.0,972.0,2523.0,3255.0,3792.0,2788.0,0.0,1253.0,1907.0,2426.0,1980.0,444.0
20222,11290,성북구,63465.0,39609.0,23856.0,296.0,8043.0,15266.0,17845.0,15982.0,6033.0,123.0,3677.0,8488.0,10744.0,12145.0,4432.0,173.0,4366.0,6778.0,7101.0,3837.0,1601.0
20223,11290,성북구,63465.0,39609.0,23856.0,296.0,8043.0,15266.0,17845.0,15982.0,6033.0,123.0,3677.0,8488.0,10744.0,12145.0,4432.0,173.0,4366.0,6778.0,7101.0,3837.0,1601.0
20214,11290,성북구,63465.0,39609.0,23856.0,296.0,8043.0,15266.0,17845.0,15982.0,6033.0,123.0,3677.0,8488.0,10744.0,12145.0,4432.0,173.0,4366.0,6778.0,7101.0,3837.0,1601.0
20213,11290,성북구,64812.0,40568.0,24244.0,284.0,8181.0,15658.0,18309.0,16394.0,5986.0,112.0,3798.0,8731.0,11071.0,12530.0,4326.0,172.0,4383.0,6927.0,7238.0,3864.0,1660.0
20212,11290,성북구,64812.0,40568.0,24244.0,284.0,8181.0,15658.0,18309.0,16394.0,5986.0,112.0,3798.0,8731.0,11071.0,12530.0,4326.0,172.0,4383.0,6927.0,7238.0,3864.0,1660.0
20211,11290,성북구,64812.0,40568.0,24244.0,284.0,8181.0,15658.0,18309.0,16394.0,5986.0,112.0,3798.0,8731.0,11071.0,12530.0,4326.0,172.0,4383.0,6927.0,7238.0,3864.0,1660.0
20204,11290,성북구,64812.0,40568.0,24244.0,284.0,8181.0,15658.0,18309.0,16394.0,5986.0,112.0,3798.0,8731.0,11071.0,12530.0,4326.0,172.0,4383.0,6927.0,7238.0,3864.0,1660.0
