기준_년분기_코드,자치구_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20213,서초구,97350300.0,46803809.0,50546492.0,16098440.0,13684832.0,17472643.0,18593964.0,13620403.0,17880018.0,22258752.0,20666206.0,13458653.0,13359250.0,16365434.0,11242006.0,14160528.0,14378603.0,14502459.0,14673773.0,14552185.0,12831336.0,12251418.0
20213,송파구,125805497.0,58987395.0,66818101.0,21410643.0,16719793.0,21737222.0,20728620.0,18651506.0,26557714.0,33521193.0,26053467.0,14751139.0,14660731.0,20545278.0,16273688.0,17902326.0,17942304.0,18084868.0,18061809.0,18029876.0,17912894.0,17871419.0
20213,강북구,100374447.0,46266639.0,54107807.0,13956646.0,13549502.0,12897886.0,15014318.0,16129505.0,28826590.0,27196853.0,20434058.0,11451771.0,11480008.0,16482178.0,13329579.0,14247322.0,14256870.0,14248995.0,14150141.0,14161344.0,14559937.0,14749835.0
20213,구로구,78520253.0,37988470.0,40531783.0,11175243.0,10006535.0,12960593.0,13250490.0,12385763.0,18741629.0,20921832.0,16109323.0,9139299.0,9153560.0,12958663.0,10237574.0,11191935.0,11218448.0,11233846.0,11191013.0,11138462.0,11138527.0,11408022.0
20213,종로구,63583792.0,31407943.0,32175848.0,6623087.0,11124808.0,10078628.0,10606217.0,10602011.0,14549041.0,13413270.0,13249840.0,9612719.0,9630410.0,10854000.0,6823552.0,9242550.0,9374555.0,9451275.0,9645248.0,9513284.0,8419552.0,7937327.0
20213,강동구,112706627.0,52853571.0,59853056.0,18982203.0,13845546.0,17586932.0,18220621.0,17078117.0,26993208.0,30776800.0,23237607.0,12851768.0,12756265.0,18204985.0,14879202.0,16002117.0,15998644.0,16082851.0,16024331.0,16009191.0,16232410.0,16357087.0
20213,서대문구,90399890.0,41500185.0,48899706.0,12863062.0,15906784.0,14882914.0,14669194.0,13151569.0,18926366.0,22820036.0,18875184.0,11207029.0,11175506.0,14936649.0,11385487.0,12981312.0,13083346.0,13150338.0,13191266.0,13074922.0,12476239.0,12442467.0
20213,영등포구,106613708.0,52068658.0,54545050.0,13059918.0,15840347.0,20642373.0,17754879.0,16626582.0,22689608.0,26660644.0,22258629.0,13305361.0,13307738.0,17784869.0,13296468.0,15282763.0,15336848.0,15440895.0,15485284.0,15433099.0,14822981.0,14811838.0
20213,도봉구,66865957.0,30988046.0,35877912.0,10339278.0,8268806.0,8687666.0,9828727.0,10741937.0,18999543.0,18009487.0,13760874.0,7626364.0,7617692.0,10967170.0,8884370.0,9497987.0,9489721.0,9456193.0,9390897.0,9394428.0,9732929.0,9903801.0
20213,광진구,91874426.0,42784205.0,49090220.0,13202628.0,17103655.0,15564065.0,14089432.0,13525699.0,18388946.0,25582080.0,18835487.0,10164516.0,10125618.0,14862059.0,12304666.0,13026360.0,13016938.0,13111564.0,13088838.0,13079231.0,13241852.0,13309645.0
20213,성동구,75172963.0,35772240.0,39400723.0,10365717.0,12405680.0,13570785.0,12238921.0,11060750.0,15531109.0,18371345.0,15684835.0,9488655.0,9584611.0,12789511.0,9254008.0,10750923.0,10832112.0,10912098.0,10968577.0,10899815.0,10473753.0,10335684.0
20213,마포구,113070489.0,52008500.0,61061990.0,15452611.0,21647965.0,22064721.0,19494612.0,14661713.0,19748867.0,28061753.0,23115087.0,14192218.0,14408789.0,19307743.0,13984900.0,16082142.0,16147178.0,16347906.0,16415047.0,16378665.0,15977272.0,15722280.0
20213,용산구,64697735.0,30902646.0,33795089.0,7690926.0,10069113.0,12963038.0,11259751.0,9276572.0,13438336.0,16764457.0,13649605.0,7901822.0,7840412.0,10455104.0,8086333.0,9230969.0,9264105.0,9335379.0,9357062.0,9353517.0,9089105.0,9067597.0
20213,성북구,117697344.0,53855588.0,63841756.0,20107175.0,19153971.0,16438463.0,17976708.0,16979397.0,27041631.0,31016245.0,24077950.0,13661289.0,13778122.0,19719334.0,15444403.0,16698365.0,16726512.0,16763516.0,16737157.0,16693751.0,16965003.0,17113043.0
20213,중랑구,102126986.0,47673057.0,54453927.0,14218397.0,13785852.0,15600033.0,15195456.0,17046228.0,26281020.0,28224200.0,20780750.0,11363634.0,11361627.0,16666003.0,13730772.0,14501414.0,14454417.0,14472648.0,14336972.0,14356550.0,14854560.0,15150425.0
20213,강서구,115864268.0,54414320.0,61449948.0,18654504.0,16120661.0,20847257.0,18653416.0,15677975.0,25910453.0,31640046.0,23985138.0,13169257.0,13029019.0,18621099.0,15419709.0,16456630.0,16418626.0,16516889.0,16471934.0,16435905.0,16707767.0,16856519.0
20213,은평구,101963337.0,46000236.0,55963102.0,16573509.0,13205360.0,15305803.0,16186304.0,15347456.0,25344903.0,28571036.0,20960695.0,11175757.0,11080556.0,16362470.0,13812823.0,14436011.0,14415039.0,14437959.0,14338018.0,14343854.0,14891740.0,15100714.0
20213,관악구,131115280.0,64494025.0,66621255.0,14248586.0,29919064.0,24736654.0,18727164.0,16477680.0,27006132.0,36055659.0,26903362.0,14479428.0,14447997.0,21545785.0,17683050.0,18462601.0,18448642.0,18575041.0,18511459.0,18517147.0,19202087.0,19398302.0
20213,양천구,80663524.0,37713743.0,42949781.0,16990693.0,9562291.0,11113028.0,13414088.0,12049423.0,17534001.0,22250737.0,16486297.0,9045143.0,9021262.0,13098940.0,10761145.0,11410961.0,11429590.0,11468373.0,11445850.0,11434925.0,11698441.0,11775382.0
20213,동대문구,103450240.0,49673353.0,53776887.0,13388301.0,19019092.0,15373255.0,15144599.0,14980721.0,25544273.0,26399563.0,21727837.0,12719284.0,12563395.0,16950373.0,13089788.0,14778580.0,14800237.0,14849088.0,14871512.0,14821975.0,14694813.0,14634034.0
20213,금천구,38609090.0,18996092.0,19612998.0,4260469.0,5758347.0,6829999.0,6147056.0,6453036.0,9160181.0,10388077.0,7948208.0,4472934.0,4454823.0,6253694.0,5091352.0,5534845.0,5540894.0,5537297.0,5525577.0,5497190.0,5446501.0,5526784.0
20213,강남구,138283459.0,67402294.0,70881166.0,21866632.0,22514986.0,27812713.0,27057758.0,17807418.0,21223952.0,28895140.0,28937578.0,20671828.0,20781596.0,24025107.0,14972213.0,20180317.0,20618102.0,20875943.0,21213706.0,20937097.0,17860395.0,16597899.0
