기준_년분기_코드,자치구_코드_명,전체임대료
20241,금천구,110668
20241,은평구,100502
20241,송파구,127058
20241,도봉구,122372
20241,강북구,88285
20241,성북구,111551
20241,중랑구,89420
20241,동대문구,91071
20241,성동구,166215
20241,용산구,129649
20241,중구,271713
20241,종로구,202740
20241,강남구,175465
20241,강동구,122369
20241,노원구,110900
20242,강동구,119185
20242,송파구,130984
20242,광진구,106244
20242,용산구,125065
20242,성동구,136247
20242,동대문구,91638
20242,중랑구,89195
20242,성북구,111710
20242,강북구,90963
20242,도봉구,105693
20242,노원구,115201
20242,은평구,100741
20242,중구,269374
20242,서대문구,134820
20242,양천구,108209
20242,강서구,129606
20242,구로구,130869
20242,금천구,115814
20242,영등포구,116223
20242,동작구,140897
20242,관악구,119153
20242,서초구,142327
20242,강남구,181017
20242,마포구,144081
20242,종로구,195617
20243,강동구,117589
20243,송파구,129781
20243,중구,265240
20243,강남구,190833
20243,서초구,143048
20243,관악구,122687
20243,동작구,129239
20243,영등포구,125447
20243,종로구,190088
20243,구로구,134996
20243,강서구,130326
20243,양천구,109589
20243,마포구,145170
20243,서대문구,127105
20243,금천구,118866
20243,노원구,113413
20243,도봉구,98336
20243,강북구,97359
20243,성북구,110002
20243,중랑구,85807
20243,동대문구,92873
20243,광진구,106222
20243,성동구,134105
20243,용산구,121634
20243,은평구,102171
20244,양천구,110045
20244,강서구,130283
20244,구로구,143653
20244,금천구,122249
20244,영등포구,124336
20244,송파구,132591
20244,관악구,121066
20244,서초구,142364
20244,강남구,197473
20244,강동구,118656
20244,동작구,131339
20244,서대문구,120123
20244,마포구,145210
20244,노원구,125841
20244,도봉구,98219
20244,강북구,100569
20244,성북구,104950
20244,중랑구,84492
20244,동대문구,95424
20244,광진구,107476
20244,성동구,133773
20244,용산구,120697
20244,중구,264923
20244,종로구,188914
20244,은평구,102342
20251,양천구,114177
20251,강서구,129934
20251,구로구,151222
20251,금천구,119617
20251,강동구,127842
20251,관악구,125650
20251,서초구,144988
20251,강남구,194130
20251,송파구,131608
20251,마포구,157717
20251,동작구,130947
20251,서대문구,120262
20251,영등포구,126099
20251,노원구,125957
20251,도봉구,95990
20251,강북구,101504
20251,성북구,109279
20251,중랑구,83684
20251,동대문구,95227
20251,광진구,113254
20251,성동구,133160
20251,용산구,124430
20251,중구,260614
20251,종로구,187083
20251,은평구,97952
20252,양천구,120112
20252,강서구,132556
20252,구로구,160936
20252,금천구,103414
20252,강남구,180958
20252,동작구,131381
20252,관악구,121002
20252,서초구,143895
20252,마포구,175914
20252,영등포구,131865
20252,서대문구,133753
20252,중랑구,88218
20252,노원구,122572
20252,도봉구,92967
20252,강북구,95254
20252,성북구,106163
20252,동대문구,100243
20252,광진구,115110
20252,성동구,134516
20252,용산구,128826
20252,중구,258149
20252,종로구,194758
20252,송파구,134775
20252,은평구,101001
20252,강동구,152759
