,기준_년분기_코드,자치구_코드_명,상권_변화_지표,운영_영업_개월_평균,폐업_영업_개월_평균,서울시_운영_영업_개월_평균,서울시_폐업_영업_개월_평균
39,20244,송파구,HL,110.0,50.0,109.0,52.0
40,20244,강남구,LL,102.0,49.0,109.0,52.0
41,20244,관악구,LL,102.0,50.0,109.0,52.0
28,20244,성동구,LH,105.0,55.0,109.0,52.0
43,20244,광진구,LL,105.0,51.0,109.0,52.0
29,20244,금천구,LL,107.0,51.0,109.0,52.0
30,20244,노원구,LL,103.0,51.0,109.0,52.0
37,20244,성북구,LH,106.0,53.0,109.0,52.0
36,20244,중랑구,LL,104.0,49.0,109.0,52.0
35,20244,마포구,LL,92.0,49.0,109.0,52.0
34,20244,서초구,HH,116.0,54.0,109.0,52.0
33,20244,강북구,LL,106.0,48.0,109.0,52.0
32,20244,도봉구,LL,107.0,50.0,109.0,52.0
31,20244,종로구,HH,131.0,63.0,109.0,52.0
52,20244,강동구,LL,104.0,49.0,109.0,52.0
46,20244,강서구,LL,93.0,48.0,109.0,52.0
45,20244,구로구,HL,116.0,52.0,109.0,52.0
50,20244,중구,HH,129.0,63.0,109.0,52.0
51,20244,서대문구,LH,108.0,53.0,109.0,52.0
47,20244,용산구,HH,114.0,57.0,109.0,52.0
48,20244,동작구,HH,112.0,56.0,109.0,52.0
74,20251,동대문구,HH,120.0,54.0,111.0,52.0
126,20251,동작구,HH,114.0,56.0,111.0,52.0
125,20251,강동구,LL,105.0,49.0,111.0,52.0
68,20251,구로구,HL,118.0,52.0,111.0,52.0
67,20251,성북구,LH,108.0,53.0,111.0,52.0
66,20251,영등포구,HH,113.0,53.0,111.0,52.0
77,20251,은평구,LL,106.0,51.0,111.0,52.0
128,20251,중구,HH,131.0,63.0,111.0,52.0
127,20251,서대문구,LH,110.0,53.0,111.0,52.0
73,20251,광진구,LL,107.0,51.0,111.0,52.0
54,20251,노원구,LL,105.0,51.0,111.0,52.0
55,20251,도봉구,LL,108.0,51.0,111.0,52.0
56,20251,금천구,LL,109.0,51.0,111.0,52.0
57,20251,종로구,HH,133.0,63.0,111.0,52.0
53,20251,성동구,LH,107.0,55.0,111.0,52.0
76,20251,강서구,LL,95.0,49.0,111.0,52.0
75,20251,용산구,HH,116.0,57.0,111.0,52.0
69,20251,강남구,LL,104.0,49.0,111.0,52.0
61,20251,마포구,LL,94.0,49.0,111.0,52.0
72,20251,양천구,LL,109.0,50.0,111.0,52.0
71,20251,관악구,LL,104.0,50.0,111.0,52.0
70,20251,송파구,HL,112.0,51.0,111.0,52.0
59,20251,강북구,LL,108.0,49.0,111.0,52.0
60,20251,중랑구,LL,106.0,49.0,111.0,52.0
58,20251,서초구,HH,118.0,54.0,111.0,52.0
86,20252,중랑구,LL,107.0,49.0,112.0,53.0
98,20252,중구,HH,133.0,63.0,112.0,53.0
99,20252,은평구,LL,107.0,52.0,112.0,53.0
100,20252,강동구,LL,106.0,49.0,112.0,53.0
101,20252,서대문구,LH,111.0,53.0,112.0,53.0
102,20252,동작구,HH,116.0,57.0,112.0,53.0
87,20252,영등포구,HH,115.0,53.0,112.0,53.0
88,20252,성북구,LH,109.0,54.0,112.0,53.0
89,20252,양천구,LL,111.0,50.0,112.0,53.0
90,20252,동대문구,HH,122.0,54.0,112.0,53.0
91,20252,광진구,LL,108.0,51.0,112.0,53.0
92,20252,관악구,LL,105.0,50.0,112.0,53.0
93,20252,강남구,LL,106.0,49.0,112.0,53.0
94,20252,송파구,HL,113.0,51.0,112.0,53.0
95,20252,구로구,HL,120.0,52.0,112.0,53.0
96,20252,용산구,HH,117.0,58.0,112.0,53.0
97,20252,강서구,LL,96.0,49.0,112.0,53.0
82,20252,도봉구,LL,105.0,51.0,112.0,53.0
83,20252,서초구,HH,120.0,55.0,112.0,53.0
84,20252,강북구,LL,110.0,49.0,112.0,53.0
85,20252,마포구,LL,95.0,49.0,112.0,53.0
78,20252,성동구,LH,108.0,55.0,112.0,53.0
79,20252,금천구,LL,111.0,52.0,112.0,53.0
80,20252,종로구,HH,134.0,63.0,112.0,53.0
81,20252,노원구,LL,107.0,51.0,112.0,53.0
